rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1501822123031317949,,5,,1501822123,31317949,"""imu""",,0.00502299228152,0.0148102874195,0.587497167391,0.809075091226,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.00243092199975,0.00147677744006,0.000696980206118,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.165241226554,-0.0263445768505,0.0761191099882,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123039287090,,69,,1501822123,39287090,"""imu""",,0.00502016313871,0.0148176179537,0.587498630763,0.809073911958,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.000800770732839,0.00304714678723,0.000719217536202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.210250526667,-0.0399504490197,0.109380699694,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123041313886,,88,,1501822123,41313886,"""imu""",,0.00501505175173,0.0148239399276,0.587499374722,0.809073287633,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.000171690308924,0.00325233840781,0.000344483560552,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.202962845564,-0.0380456373096,0.099707685411,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123049295902,,158,,1501822123,49295902,"""imu""",,0.00501007300426,0.0148288553874,0.587500915767,0.809072109388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.000462910485127,0.00277086332971,0.000736222691011,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.175641566515,-0.0340904034674,0.0268255006522,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123051310062,,179,,1501822123,51310062,"""imu""",,0.00500905806906,0.0148306537869,0.58750161158,0.809071577449,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,9.11008014442e-05,0.000825071752693,0.000340559038984,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.139859691262,-0.0577830709517,-0.0230523850769,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123059303045,,245,,1501822123,59303045,"""imu""",,0.00500845483244,0.0148294420883,0.58750409654,0.809069798952,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-0.000491151891083,-0.000234849521346,0.00122099109029,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.130596190691,-0.0515949837863,-0.0598549209535,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123061312913,,266,,1501822123,61312913,"""imu""",,0.00501203439471,0.0148294241841,0.587505879965,0.80906848208,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.00114629553346,-0.000835612240001,0.00090789216148,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.114446215332,-0.0296820215881,-0.0797776654363,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123069293022,,331,,1501822123,69293022,"""imu""",,0.00501701658839,0.0148303892879,0.587508207767,0.809066743171,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.00182885071713,-0.000843510177108,0.00118959608809,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.126728281379,-0.0263759512454,-0.035079665482,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123071316003,,352,,1501822123,71316003,"""imu""",,0.00501938621073,0.0148324884316,0.587509800598,0.809065533347,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.00125315565242,0.000132842803785,0.000809629449523,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.134727805853,-0.0413604974747,0.0734614729881,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1501822123079293966,,417,,1501822123,79293966,"""imu""",,0.00501872040671,0.0148330224631,0.587511875453,0.809064021009,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,-9.92454271768e-05,0.000342431314051,0.00102185022893,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.160274028778,-0.0257900226861,0.0996720045805,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
